序号,项目编号,项目名称,实施方式,时间计划,投入估算（万元）,相关业务板块,项目启动条件,项目收益,涉及AI技术,模型选择,数据需求与来源,可行性分析,目标用户,落地路径,相关案例
1,,供应商资质智能审核助手,采购现有解决方案,2026Q1-2027Q1,8,供应链,数据治理体系完善，OCR技术成熟，建立供应商主数据管理规范；供应商评估标准化，建立准入评估模型,自动审核供应商资质文件，提取关键信息并与官方数据库比对，预计每年降本80万元，审核效率提升70%；自动评估新供应商准入资格，准入效率提升60%，风险识别准确率达90%,OCR、NLP、RPA、机器学习、风险评估模型,大模型+小模型,国家药监局数据库、工商信息数据库、公司内部供应商档案,可行性高：基于现有数据基础，技术相对成熟,供应链业务部门,1.需求调研：梳理现有审核流程痛点（如跨部门数据核对耗时）；2.数据准备：补充供应商主数据缺失字段，打通与外部监管数据库接口；3.系统开发：开发OCR识别模块（适配医药资质扫描件）、NLP信息提取模块（识别关键条款）；4.测试上线：先选取10家供应商试点，优化模型后全量推广,"企业1医药B2B平台——全链路合规体系、智能资质审核系统：资质审核周期从25天缩短至5天，效率提升80%；采购驳回率从30%降至3%
[已脱敏链接]"
2,,药品安全库存计算,合作开发,2026Q2-2026Q4,8,供应链,1.历史销售数据完整性达标（补充2023-2024年缺失的区域销售数据）；2.库存数据实时同步（打通ERP与WMS库存数据接口，解决现有数据延迟问题）；3.建立安全库存计算模型（结合季节、政策、促销等影响因子）,1.动态计算不同药品安全库存（如冷链药品、急救药品差异化阈值），库存周转率提升20%；2.缺货率从12%降至5%，减少因缺货导致的销售损失；3.避免盲目备货，库存成本降低15%,机器学习（回归分析）、时间序列分析、风险预警模型,小模型,1.内部：ERP销售数据（补充区域、季节维度）、WMS库存数据（实时同步库存位置、效期）；2.外部：历史促销活动数据、区域医药需求政策数据,可行性高：1.现有历史销售数据积累丰富，仅需补充少量缺失字段；2.时间序列算法成熟，适配药品销售周期性特征；3.现有WMS支持模块化扩展，可接入计算模型,供应链业务部门,1.数据补全：梳理2023-2024年区域销售数据，补全缺失的采购记录；2.模型构建：基于历史数据训练安全库存模型，纳入促销、政策（如集采扩围）影响因子；3.系统对接：将模型嵌入WMS系统，实现库存数据实时计算；4.试点验证：选取心血管类药品试点，对比原有静态阈值方案，优化后全量推广,"企业2医药零售连锁店——企业3供应链管理系统、ABC分类策略、ODBC数据库连接：减少库存积压86,000美元；通过安全库存设置和优化订购流程，提升了库存管理效率。
[已脱敏链接]"
3,,合同要素智能提取,采购现有解决方案,2026Q2-2026Q4,8,供应链,合同电子化程度达80%以上，建立合同模板标准化体系,自动提取采购合同中的折让条款、返利政策，销售合同中的价格、折扣、付款条件，以及合同有效期等关键信息，方便后续审核以及自动化流程，预计每年降本150万元,OCR、NLP、知识图谱,大模型,公司内部合同管理系统、历史合同数据,可行性高：合同格式相对标准化，技术难度适中,供应链业务部门、财务管理部,1.文档电子化：扫描2022年前纸质合同，通过OCR初步识别文本；2.模板标准化：制定采购/销售合同统一模板，明确折让、返利等关键要素位置；3.模型开发：训练NLP模型提取关键要素，构建合同要素知识图谱；4.流程打通：用RPA将提取要素同步至ERP，实现“提取-审核-录入”自动化,"企业1的智能合同审核系统专注于确保医药流通合同的合规性。其系统能够从合同中提取超过50个关键要素，并与GSP规范的287条核心要求进行精准映射和校验。例如，系统会重点提取并核查运输条件（如冷链药品的温度监控要求）、药品有效期、追溯信息的上传与保存期限等关键条款，确保合同内容符合严格的行业监管要求。
[已脱敏链接]"
4,,药品需求预测智能系统（批发）,合作开发,2026Q4-2027Q4,11,供应链,历史销售数据完整性达95%，建立品类管理标准化流程,基于历史销售、季节性、政策变化等多维度预测药品需求，库存周转率提升25%，缺货率降低40%,机器学习、时间序列分析,小模型,ERP销售数据、外部市场数据、政策信息,可行性中：需要大量历史数据训练，算法复杂度较高,供应链业务部门,1.数据整合：补全基层医疗机构销售数据，对接区域疾控发病率数据、集采政策平台；2.模型训练：基于历史数据训练LSTM需求预测模型，纳入季节、政策、疾病趋势因子；3.系统集成：将模型嵌入ERP采购模块，生成需求预测报表；4.迭代优化：每月对比实际销售与预测数据，调整模型参数,"企业名称：企业4
应用的技术：智能预测系统（融合区域疾病趋势、医保政策等上百维数据）
达成的目标与效果：帮助合作药店（如企业5）库存周转效率提升30%；在流感季提前精准备货，避免缺货。
网址：[已脱敏链接]"
5,,供应商风险智能预警助手（信用管理）,合作开发,2027Q3-2028Q3,11,供应链,供应商数据整合完成，建立风险评估指标体系,实时监控供应商经营状况、舆情信息，提前预警风险，预计避免损失200万元/年,NLP、知识图谱、机器学习,大模型+小模型,供应商财务数据、舆情数据、交易记录,可行性中：需要整合多源异构数据,供应链业务部门、风险管理部,1.数据打通：建立供应商数据中台，整合ERP、财务、法务数据；2.指标设计：制定财务（资产负债率）、舆情（负面投诉量）、履约（交货准时率）风险指标；3.系统开发：开发舆情爬取模块、风险分类模型，构建供应商知识图谱；4.预警落地：设置风险阈值，触发预警后推送至供应链部门，配套应对方案模板,"企业6企业7风险雷达、即时风险扫描、动态监测：提高了渠道准入门槛；对合作流通企业进行动态风险监测，提升了风险反应速度和应对能力
[已脱敏链接]"
6,,创新药研发进展智能跟踪,合作开发,2026Q2-2026Q4,14,供应链,建立药品信息数据库，配置网络爬虫基础设施,自动跟踪创新药研发进展（含临床试验、审批进度），自动生成月度报告/调研报告，药品引进决策周期缩短50%,网络爬虫、NLP、Agent,大模型,国家药监局数据、医药研发平台数据,可行性高：信息源相对集中，技术实现难度适中,供应链业务部门,"AI知识库整合医药商业协会、药监局相关网站等数据，按“治疗领域-研发阶段-企业”分类追踪创新药动态。自动生成《月度创新药进展报告》，标注关键节点（如某PD-1抑制剂进入III期临床）并关联竞品分析，同步推送“潜在合作药企清单”。某企业应用后，创新药引进决策周期从3个月缩短至15天。
1.爬虫部署：开发适配CDE、ClinicalTrials等平台的爬虫，定时抓取研发数据；2.数据清洗：用NLP提取关键信息（如试验阶段、适应症），标准化录入数据库；3.报告生成：配置报告模板，自动按“治疗领域-研发阶段-企业”分类，标注关键节点；4.推送落地：每月将报告推送至供应链部门，同步关联竞品分析与潜在合作药企清单","企业8HEC-PharmAI (全球首个药物制剂垂直领域自然语言大模型)构建了融入21万余条制剂配方、1.2万余篇期刊文献、2000余篇核心工艺专利的智能知识库，展示了利用AI聚合与解析研发知识的能力。
[已脱敏链接]"
7,,采购价格智能比价系统,合作开发,2026Q2-2027Q2,8,供应链,供应商价格数据标准化，建立价格监控机制,实时比较不同供应商价格，优化采购决策，预计每年降本300万元,机器学习、数据挖掘,小模型,供应商报价数据、市场价格数据,可行性高：数据相对标准化，算法成熟,供应链业务部门,1.数据标准化：梳理现有报价数据，统一药品规格（如mg/片）、包装单位（如盒/箱）格式；2.接口对接：对接外部医药电商平台，获取实时市场均价；3.系统开发：开发比价模块，支持按药品品类、供应商等级筛选，自动生成比价报表；4.推广应用：先在抗生素品类试点，优化后覆盖全品类采购,"企业9：医药采购管理软件，支持自动抓取GSP认证供应商报价，一键生成价格-账期-质量三维度对比表。
[已脱敏链接]"
8,,行业政策智能解读系统,合作开发,2026Q3-2027Q3,11,供应链,"建立政策文档标准化处理流程，配置自动化抓取工具；
集采、医保（目录变动）、监管政策内容具有固定网站信息源",自动抓取并解读集采、医保、监管政策，生成影响分析报告（含地区差异性分析与策略建议），政策响应速度提升80%,NLP、网络爬虫、知识图谱,大模型,政府采购平台数据、政策文件,可行性高：政策信息相对结构化,供应链业务部门、零售业务部门、法务部门、质量管理中心等,"AI知识库实时抓取医药商业协会、国家药监局等20+官方渠道政策，通过NLP技术拆解核心条款（如集采扩围品种、医保支付调整），自动生成“政策摘要-影响分析-应对方案”三维报告。例如：2025年某省集采政策出台后，系统1小时内完成120个中标品种的利润测算，推荐58个品种的库存调整方案。
1.爬虫配置：开发工具定时抓取国家药监局、医保局等20+官方渠道政策；2.条款拆解：用NLP提取政策核心信息（如集采品种、执行时间），构建政策知识图谱；3.影响分析：关联内部销售/库存数据，测算政策对利润、库存的影响；4.报告推送：政策发布后1小时内推送报告至相关部门，配套库存调整、定价策略建议","企业10医药合规助手使用自然语言处理、规则引擎、大数据分析、流程自动化（RPA）技术，可实时抓取官方政策并解析关键条款，将法规匹配到具体业务场景（如处方流转、药品推广）并提供操作指南，并将合规要求通过系统审批流程进行自动化控制（如费用阈值），帮助某药企成功规避潜在处罚，节省法律成本超200万元。
[已脱敏链接]"
9,,供应链协同智能调度,合作开发,2027Q3-2028Q3,14,供应链,跨区域数据打通，建立统一调度平台,优化跨区域库存调配，减少库存积压30%，提升供应链响应速度,优化算法、机器学习,小模型,各分子公司库存数据、销售预测数据,可行性中：需要复杂的系统集成,供应链业务部门、物流业务部门,1.数据整合：制定跨区域数据标准，打通各分子公司ERP/WMS/TMS接口，建立供应链数据中台；2.平台开发：开发统一调度平台，实现库存、运输数据可视化；3.算法部署：基于遗传算法开发调度模型，纳入运输成本、交货时间约束；4.试点运行：先在华东-华中区域试点，优化调度效率后推广至全国,"企业名称：企业11
应用技术：九州云仓系统、实时数据监控、智能补货算法
目标：优化库存周转，降低缺货与积压风险。
降本/增效/提质：整合全国物流资源，实现库存信息共享；通过智能算法预测需求，药品周转率提升40%，库存周期缩短30%。
来源网址：[已脱敏链接]
[已脱敏链接]"
10,,药品质量追溯智能系统,采购现有解决方案,2027Q3-2028Q3,11,供应链,药品追溯码标准化，建立质量数据采集体系,自动追溯药品流向，快速定位质量问题，召回效率提升60%,区块链、OCR、物联网,小模型,药品追溯码数据、质量检验数据,可行性中：需要与监管平台对接,质量管理中心、供应链业务部门,1.追溯码补录：梳理2023年前药品库存，补录缺失的追溯码，确保全品类赋码；2.硬件部署：在冷链车、仓库加装温湿度传感器，实时采集环境数据；3.系统开发：开发追溯模块，用区块链存证流向数据，OCR识别追溯码；4.对接监管：与国家药品追溯平台对接，实现数据同步，测试召回流程,"企业名称：企业12
应用的技术：智能合同、区块链存证、数据穿透、节点管控
达成的目标与效果：合同履约透明度提升至100%，追溯效率提升500%；实现了从资质审核到结算付款的全流程可追溯。
网址：[已脱敏链接]"
